#t_ns,in_ts
7687432065615,73417193389848
7687465356215,73417225190416
7687498643315,73417259546655
7687531933815,73417291853064
7687565223315,73417325512968
7687598516515,73417359302785
7687631801515,73417392927472
7687665091415,73417425906273
7687698386115,73417459019394
7687731670615,73417491534954
7687764958315,73417525733298
7687798255215,73417558942409
7687831538415,73417591997725
7687864826815,73417625982194
7687898119915,73417658972295
7687931406615,73417692587694
7687964694415,73417725307554
7687997985615,73417758364655
7688031291615,73417792310548
7688064563715,73417825762125
7688097853615,73417859244228
7688131141615,73417892641922
7688164432015,73417926595356
7688197748515,73417958896484
7688231015015,73417989211811
7688264300315,73418025655140
7688297608615,73418058901795
7688330882415,73418091873832
7688364168215,73418125410475
7688397458015,73418158761733
7688430753415,73418191955581
7688464036315,73418225478600
7688497324515,73418258797731
7688530621815,73418292225079
7688563903215,73418325525504
7688597196215,73418357757589
7688630489815,73418391741153
7688663772215,73418424933215
7688697060615,73418458733503
7688730350915,73418492245056
7688763640815,73418526108227
7688796930715,73418559538019
7688830219315,73418592330491
7688863508015,73418626091642
7688896799015,73418659843054
7688930086615,73418692237590
7688963376115,73418726035845
7688996666615,73418759039432
7689029955615,73418792815325
7689063249015,73418825872933
7689096534315,73418858541457
7689129824215,73418892093461
7689163119215,73418925893011
7689196402415,73418958996927
7689229691015,73418992455922
7689262988215,73419025312794
7689296270115,73419059054451
7689329559115,73419092085910
7689362855815,73419125536959
7689396140415,73419159075897
7689429428015,73419192080245
7689462718015,73419225547574
7689496008215,73419258929569
7689529295615,73419292218030
7689562586015,73419325788238
7689595897515,73419357826697
7689629196815,73419392794135
7689662452915,73419425361894
7689695743015,73419458653266
7689729033315,73419492073023
7689762321915,73419525504234
7689795616115,73419559394691
7689828901515,73419592522330
7689862191415,73419625584347
7689895484315,73419658975982
7689928768915,73419691730007
7689962057415,73419726015049
7689995353715,73419759705386
7690028637215,73419792445757
7690061925815,73419826073128
7690095222515,73419858224726
7690128506115,73419892774736
7690161793615,73419926459598
7690195084215,73419959830133
7690228374615,73419992997851
7690261661615,73420026131963
7690294951715,73420058964473
7690328263615,73420092329818
7690361531415,73420126639188
7690394820615,73420159115308
7690428108915,73420192477901
7690461399515,73420225222679
