#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7466458034094,14842184753021,14842187727405,14842194055777,14842194067132,14842194116663,14842194828166,14842195682943,14842195697451,14842196661716,14842196916294,14842198627208,14842198633785,14842198634044,14842198723291,14842198930630,14842199825258,14842201390602,14842201692112,14842202203485,14842202673873,14842202991791,14842203010986,14842203025995
7466491318694,14842194062797,14842197053929,14842203030570,14842203038693,14842203101888,14842204873173,14842205702762,14842205714686,14842206701553,14842206905856,14842208642732,14842208649490,14842208649733,14842208789077,14842209981603,14842211256595,14842213103135,14842213510589,14842214058054,14842214712897,14842215112821,14842215396249,14842215413053
7466524605794,14842203035686,14842206233362,14842215427840,14842215441672,14842215508854,14842216174540,14842217109465,14842217131776,14842218080803,14842218301331,14842220208075,14842220214842,14842220215074,14842220333844,14842220571396,14842221882766,14842223883045,14842224250802,14842224829944,14842225560490,14842225921079,14842225949145,14842225962939
7466557902394,14842215434079,14842218442191,14842226042116,14842226047892,14842226109335,14842226734030,14842227494549,14842227500831,14842228432250,14842228670567,14842230606764,14842230613675,14842230613875,14842230689052,14842230925631,14842231926764,14842233695705,14842234098043,14842234585039,14842235175117,14842235461739,14842235484173,14842235500752
7466591185594,14842226045447,14842229049547,14842235506134,14842235519373,14842235591752,14842236331552,14842237067731,14842237072252,14842237988603,14842238207189,14842240012899,14842240021178,14842240021385,14842240111622,14842240341237,14842241761125,14842243831149,14842244232472,14842244717633,14842245414315,14842245793321,14842245823096,14842245837199
7466624474194,14842235511924,14842238821521,14842245844407,14842245857768,14842245925026,14842247227594,14842247969919,14842247993628,14842248950620,14842249148460,14842251097706,14842251104204,14842251104485,14842251225745,14842251462930,14842252816798,14842254972342,14842255355845,14842255936572,14842256637307,14842257028906,14842257057816,14842257070747
7466657770694,14842245850612,14842248937521,14842257076108,14842257085280,14842257164726,14842257916419,14842258813397,14842258833503,14842259713477,14842259936324,14842261907091,14842261913237,14842261913466,14842262011754,14842262231338,14842263443904,14842265451537,14842265932249,14842266480716,14842267089963,14842267450412,14842267476055,14842267490731
7466691054094,14842257081253,14842260114319,14842267496295,14842267507742,14842267577076,14842268678771,14842269541189,14842269555468,14842270368051,14842270667232,14842272569312,14842272575848,14842272576117,14842272645859,14842272865714,14842274218188,14842276271172,14842276735265,14842277333848,14842277947257,14842278339801,14842278369335,14842278384885
7466724343894,14842267502868,14842270511514,14842278391316,14842278404446,14842278472421,14842279150862,14842279997564,14842280023268,14842280871971,14842281093977,14842282983376,14842282989892,14842282990160,14842283129154,14842284040435,14842285637944,14842287960111,14842288563657,14842289146490,14842289969238,14842290429775,14842290594414,14842290608894
7466757633294,14842278398262,14842281433690,14842290626259,14842290641744,14842290700026,14842291378626,14842292146162,14842292158940,14842293086084,14842293418618,14842295359660,14842295366257,14842295366509,14842295445992,14842295905297,14842296847872,14842298541946,14842298953874,14842299482132,14842300013243,14842300286985,14842300312567,14842300324221
