#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
4530276273283,14601019258819,14601026678271,14601031311281,14601031317438,14601031393411,14601032574007,14601034035659,14601034107672,14601035275071,14601035753793,14601040889452,14601040902589,14601040903022,14601041023621,14601041278679,14601041609585,14601042942909,14601043152621,14601043719485,14601044156821,14601044705965,14601044733372,14601044741692
4530309562883,14601031315613,14601038114588,14601044746279,14601044753615,14601044821750,14601045859015,14601047270317,14601047369639,14601048626261,14601049086761,14601053884075,14601053900533,14601053900826,14601054020639,14601054275168,14601054719583,14601055979350,14601056223858,14601056667677,14601057088099,14601057468373,14601057490213,14601057498429
4530342857583,14601044751018,14601051447779,14601057504370,14601057513004,14601057582374,14601059183651,14601060724695,14601060801339,14601063643788,14601064112591,14601068683732,14601068695393,14601068695688,14601068829903,14601069101145,14601069444380,14601070679586,14601070944578,14601071482322,14601071855503,14601072247861,14601072263606,14601073645308
4530376141183,14601057509846,14601073640923,14601073649815,14601073665927,14601073794588,14601074518974,14601075871384,14601075936725,14601077189002,14601077675437,14601082278276,14601082289506,14601082289828,14601082424382,14601082701208,14601083270386,14601084534186,14601084771828,14601085330048,14601085771794,14601086188369,14601086203596,14601086209934
4530409428883,14601073655161,14601083839537,14601086212013,14601086221112,14601086306857,14601087357555,14601088661133,14601088693691,14601089846373,14601090267496,14601094772993,14601094785073,14601094785364,14601094874649,14601095167264,14601096020446,14601097277061,14601097565035,14601098162359,14601098640796,14601099061918,14601099076229,14601104074945
4530442740583,14601086214725,14601104071191,14601104078274,14601104092666,14601104211515,14601105394191,14601106657971,14601106710082,14601107854956,14601108345651,14601112817138,14601112829147,14601112829448,14601112901229,14601114991052,14601116304816,14601118272367,14601118715705,14601119398792,14601120210134,14601120754104,14601121092878,14601121219133
4530476008683,14601104082574,14601112474179,14601121231206,14601121252848,14601121364212,14601122781207,14601124216698,14601124249890,14601125219947,14601125595232,14601129972740,14601129985287,14601129985797,14601130112744,14601130431823,14601131760137,14601133439331,14601133892157,14601134508707,14601135198877,14601135734220,14601135779533,14601139740019
4530509295783,14601121243280,14601139736533,14601139743218,14601139756188,14601139847140,14601141170346,14601142671088,14601142725039,14601143798630,14601144277768,14601148839997,14601148853406,14601148853734,14601148916609,14601149209189,14601150423852,14601152059346,14601152526144,14601153227813,14601153857285,14601154534108,14601154559967,14601154565953
4530542585883,14601139747082,14601148587646,14601154567205,14601154575982,14601154656071,14601155635046,14601157346262,14601157369701,14601158325968,14601158935780,14601163418588,14601163435537,14601163436001,14601163534369,14601164621746,14601165887221,14601167703886,14601168109447,14601168714126,14601169325938,14601169907557,14601169930508,14601171024606
4530575907683,14601154570209,14601171019866,14601171029875,14601171043886,14601171141372,14601172429213,14601173948393,14601173996606,14601174971056,14601175494042,14601180068308,14601180086660,14601180087218,14601180189519,14601180487792,14601181542032,14601183269090,14601183604733,14601184087245,14601184770380,14601185282760,14601185303729,14601185310217
4530609163383,14601171035150,14601180675217,14601185311338,14601185324016,14601185402154,14601186694091,14601188371360,14601188408520,14601189387777,14601189907638,14601194722287,14601194736970,14601194737291,14601194870314,14601195176263,14601196307690,14601198088635,14601198435909,14601198878081,14601199514161,14601200015868,14601200034480,14601200192804
4530642452683,14601185314739,14601192851811,14601200200386,14601200217284,14601200314259,14601201602588,14601203163538,14601203198990,14601204233218,14601204814094,14601209692525,14601209712367,14601209712682,14601209822213,14601209997145,14601211053488,14601212702875,14601212999725,14601213495520,14601214086425,14601214391772,14601214401638,14601214409097
4530675755183,14601200214201,14601207600077,14601214411357,14601214415756,14601214468931,14601215902420,14601217620831,14601217656797,14601218634454,14601219090749,14601224036858,14601224052552,14601224052852,14601224134968,14601225627150,14601226711120,14601228566795,14601228900502,14601229351203,14601229976585,14601230358056,14601230541730,14601230548857
4530709030183,14601214414273,14601221718719,14601230600364,14601230606693,14601230673654,14601232803121,14601234459431,14601234485719,14601235384776,14601235885028,14601240756066,14601240770932,14601240771358,14601240851039,14601241117456,14601242323412,14601244232254,14601244618088,14601245113073,14601245705638,14601246117059,14601246147055,14601246154444
4530742320183,14601230604423,14601238836511,14601246157874,14601246165355,14601246233254,14601247080132,14601248656572,14601248683684,14601249574666,14601250056782,14601255106684,14601255123672,14601255123995,14601255177398,14601255427154,14601256580086,14601258518936,14601258906204,14601259422839,14601260079268,14601260714610,14601260737429,14601260745993
4530775614083,14601246161609,14601253119441,14601260749546,14601260757676,14601260820956,14601262314461,14601264162247,14601264187551,14601265153121,14601265633716,14601270554345,14601270574265,14601270574557,14601270663568,14601270980169,14601272186892,14601273997102,14601274368962,14601274943085,14601275584332,14601276083996,14601276112635,14601276120118
4530808897083,14601260754071,14601267739082,14601276124193,14601276130360,14601276200194,14601277493786,14601279250779,14601279286516,14601280147866,14601280536424,14601285513354,14601285530721,14601285531041,14601285609427,14601285783394,14601286762265,14601288617267,14601288953001,14601289312484,14601289805207,14601290113359,14601290132453,14601290139105
