#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9981786222408,14472194602521,14472210376414,14472215188469,14472215307120,14472215364532,14472221556747,14472222773365,14472223135527,14472225071818,14472225604591,14472228100317,14472228110299,14472228110749,14472228217186,14472228587724,14472231118617,14472235320558,14472235944193,14472236796402,14472237877346,14472238892106,14472239015744,14472239031070
9981804728408,14472215191938,14472225089394,14472239038178,14472239053830,14472239121059,14472242988195,14472244166805,14472244483835,14472246334551,14472246941533,14472249238742,14472249254472,14472249254741,14472249354849,14472249775821,14472252236291,14472256245845,14472256846567,14472257655588,14472258650791,14472259162125,14472259195449,14472259222833
9981823236408,14472239045054,14472248940816,14472259236587,14472259249513,14472259319839,14472263506709,14472264649259,14472264987147,14472266936745,14472267444244,14472269818269,14472269828062,14472269828334,14472269934297,14472270245437,14472272268363,14472275581936,14472276200099,14472276842598,14472277614213,14472277997456,14472278030668,14472278036409
9981841742408,14472259243503,14472271088935,14472278039717,14472278044945,14472278080356,14472280883605,14472281917171,14472282272446,14472284112720,14472284635339,14472286869773,14472286885290,14472286885570,14472287022168,14472289552362,14472291400638,14472294836106,14472295429159,14472296140551,14472296931257,14472297326925,14472297355104,14472297456427
9981860250408,14472278043358,14472287752656,14472297465623,14472297593244,14472297653187,14472301059810,14472302193714,14472302687734,14472304504639,14472304995552,14472307218714,14472307235434,14472307235750,14472307343465,14472307651706,14472309868470,14472313516838,14472314085915,14472314792868,14472315656659,14472316060561,14472316089046,14472316095777
9981878756408,14472297476628,14472307302876,14472316099886,14472316106489,14472316133866,14472319269622,14472320427745,14472320858937,14472322743896,14472323285574,14472325342754,14472325360592,14472325360902,14472325464796,14472326122899,14472328328348,14472332106156,14472332673031,14472333406805,14472334357959,14472334774860,14472335049413,14472335179320
9981897263408,14472316103883,14472325758790,14472335193866,14472335367274,14472335425111,14472339593271,14472340693252,14472341112395,14472343019498,14472343571274,14472345593865,14472345602811,14472345603074,14472345749239,14472346071485,14472348256024,14472352118333,14472352738359,14472353603602,14472354510827,14472354974500,14472355019855,14472355158012
9981915770408,14472335204595,14472345111183,14472355222785,14472355232758,14472355259528,14472359085415,14472360090373,14472360403045,14472362309914,14472362759021,14472364964366,14472364979461,14472364979734,14472365085249,14472365376824,14472367710459,14472371687086,14472372347961,14472373066823,14472374004349,14472374822995,14472374925745,14472375017427
9981934280408,14472355228789,14472374505468,14472375024220,14472375034016,14472375064318,14472378795366,14472379797877,14472380117546,14472382030051,14472382514418,14472384600630,14472384617828,14472384618162,14472384732794,14472385108448,14472387297800,14472391063689,14472391608681,14472392332888,14472393290533,14472393765099,14472393796084,14472393802413
9981952787408,14472375032326,14472384755740,14472393806175,14472393906719,14472393983594,14472397953056,14472398955163,14472399351794,14472401321289,14472401834431,14472403912667,14472403928921,14472403929183,14472404047411,14472404358599,14472406586653,14472410319655,14472410842165,14472411488618,14472412396215,14472412884051,14472412920690,14472412926482
9981971294408,14472393809038,14472403636892,14472412930238,14472412935680,14472412964106,14472417038683,14472417974229,14472418263430,14472420220526,14472420792326,14472422899420,14472422909424,14472422909680,14472423017837,14472423355760,14472425861793,14472429936569,14472430505809,14472431188334,14472432277522,14472432935030,14472432984486,14472433105304
9981989798408,14472412934806,14472424747611,14472433114566,14472433344208,14472433417140,14472437304421,14472438328440,14472438566026,14472440342107,14472440862719,14472443039973,14472443060959,14472443061232,14472443210943,14472443579099,14472445946512,14472449717474,14472450246981,14472450836494,14472451801162,14472452403182,14472452448028,14472452464628
