#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,map_stamp_saved,lc_keyframe_indexed,lc_candidates_retrieved,lc_cumulative_initial_matching_ended,lc_cumulative_island_response_received,lc_cumulative_island_matching_ended,lc_cumulative_reprojection_ended,lc_cumulative_pose_estimation_ended,lc_candidates_validated,lc_loop_detection_finished,lc_loop_decision_received,lc_pgo_problem_built,lc_pgo_problem_solved,lc_pgo_poses_applied,lc_loop_closing_finished,backend_state_pushed,consumer_state_received
6801485545421,1526041511487445,1526041520573095,1526041520577020,1526041520587568,1526041520654275,1526041521542376,1526041522697565,1526041522704051,1526041523457028,1526041523720787,1526041527567731,1526041527592814,1526041527593099,1526041527607200,1526041528347576,1526041529059064,1526041529968636,1526041530093527,1526041530251819,1526041530610242,1526041530909586,1526041531684765,1526041534553028,1526041534560041,1526041534560041,1526041534560041,1526041534560041,1526041534560041,1526041534560041,1526041534560041,1526041534560721,1526041534560721,1526041534560721,1526041534560721,1526041534560721,1526041534577263,1526041534631202,1526041534636264
6801718540421,1526041580657376,1526041589625432,1526041589629104,1526041589640364,1526041589697376,1526041590766288,1526041591900529,1526041591905336,1526041592341922,1526041592600425,1526041595429974,1526041595448015,1526041595448313,1526041595461788,1526041596067655,1526041596755123,1526041597630253,1526041597750816,1526041597905333,1526041598237060,1526041598565889,1526041599044832,1526041601806335,1526041601814197,1526041601814197,1526041601814197,1526041601814197,1526041601814197,1526041601814197,1526041601814197,1526041601814918,1526041601814918,1526041601814918,1526041601814918,1526041601814918,1526041601831577,1526041601896574,1526041601918390
6801951563421,1526041648623793,1526041657636421,1526041657640227,1526041657651778,1526041657710602,1526041658569758,1526041659748635,1526041659758064,1526041660358127,1526041660597027,1526041664373408,1526041664396137,1526041664396437,1526041664413388,1526041664914703,1526041665339661,1526041666187579,1526041666303923,1526041666459843,1526041666825965,1526041667088626,1526041667568386,1526041670326986,1526041670335344,1526041670335344,1526041670335344,1526041670335344,1526041670335344,1526041670335344,1526041670335344,1526041670336106,1526041670336106,1526041670336106,1526041670336106,1526041670336106,1526041670346146,1526041670406065,1526041670420925
6802184587921,1526041718138142,1526041727176377,1526041727180539,1526041727183799,1526041727217363,1526041728253775,1526041729306880,1526041729311827,1526041729725596,1526041730011683,1526041733043259,1526041733057574,1526041733057848,1526041733062776,1526041733721828,1526041734412479,1526041735230701,1526041735350115,1526041735494834,1526041735839789,1526041736094433,1526041736618256,1526041739335047,1526041739342274,1526041739342274,1526041739342274,1526041739342274,1526041739342274,1526041739342274,1526041739342274,1526041739343090,1526041739343090,1526041739343090,1526041739343090,1526041739343090,1526041739360205,1526041739409324,1526041739422191
6802417610621,1526041783855194,1526041793087315,1526041793091514,1526041793094738,1526041793130064,1526041794164355,1526041795182125,1526041795187146,1526041795620187,1526041795863238,1526041798810824,1526041798825806,1526041798826222,1526041798839521,1526041799455911,1526041799889620,1526041800395121,1526041800471662,1526041800541379,1526041800910672,1526041801427526,1526041802013456,1526041804969213,1526041804973343,1526041804973343,1526041804973343,1526041804973343,1526041804973343,1526041804973343,1526041804973343,1526041804974405,1526041804974405,1526041804974405,1526041804974405,1526041804974405,1526041804992800,1526041805061869,1526041805075471
6802650647721,1526041852640982,1526041861568837,1526041861572422,1526041861587018,1526041861642527,1526041862477855,1526041863539112,1526041863544772,1526041863874012,1526041864093001,1526041866902427,1526041866919239,1526041866919520,1526041866926348,1526041867438689,1526041867863875,1526041868497100,1526041868577936,1526041868673574,1526041869006519,1526041869261808,1526041869761115,1526041872318670,1526041872326077,1526041872326077,1526041872326077,1526041872326077,1526041872326077,1526041872326077,1526041872326077,1526041872326735,1526041872326735,1526041872326735,1526041872326735,1526041872326735,1526041872379454,1526041872440621,1526041872454101
6802883662321,1526041918369169,1526041927265341,1526041927269362,1526041927273632,1526041927308071,1526041928445185,1526041929494050,1526041929499206,1526041929906591,1526041930148328,1526041933062759,1526041933078826,1526041933079070,1526041933086495,1526041933749232,1526041934439479,1526041935219666,1526041935306186,1526041935426286,1526041935763615,1526041936037016,1526041936497328,1526041939119774,1526041939128187,1526041939128187,1526041939128187,1526041939128187,1526041939128187,1526041939128187,1526041939128187,1526041939129209,1526041939129209,1526041939129209,1526041939129209,1526041939129209,1526041939134380,1526041939163391,1526041939167584
6803116690921,1526041986135468,1526041996032099,1526041996047910,1526041996058588,1526041996106787,1526041997359354,1526041998438841,1526041998443852,1526041998725494,1526041998909552,1526042001711569,1526042001726287,1526042001726703,1526042001740097,1526042002402327,1526042002825471,1526042004071955,1526042004237286,1526042004435129,1526042004808872,1526042005069498,1526042005491584,1526042008143480,1526042008151003,1526042008151003,1526042008151003,1526042008151003,1526042008151003,1526042008151003,1526042008151003,1526042008151799,1526042008151799,1526042008151799,1526042008151799,1526042008151799,1526042008157195,1526042008187274,1526042008193449
6803349703221,1526042054817397,1526042063703437,1526042063707274,1526042063717721,1526042063777701,1526042064621101,1526042065605778,1526042065609999,1526042065918833,1526042066116902,1526042069089685,1526042069103839,1526042069104093,1526042069117508,1526042069654969,1526042069943425,1526042070553402,1526042070618638,1526042070708878,1526042071019544,1526042071263237,1526042071684807,1526042074226860,1526042074234165,1526042074234165,1526042074234165,1526042074234165,1526042074234165,1526042074234165,1526042074234165,1526042074234841,1526042074234841,1526042074234841,1526042074234841,1526042074234841,1526042074252357,1526042074306014,1526042074319397
6803582726021,1526042120231156,1526042128823478,1526042130458541,1526042130461763,1526042130498287,1526042131031648,1526042132088193,1526042132093015,1526042132511924,1526042132787866,1526042135548272,1526042135564208,1526042135564505,1526042135579664,1526042136268751,1526042136816913,1526042137431071,1526042137498811,1526042137605702,1526042137928243,1526042138194922,1526042138619314,1526042141245327,1526042141254170,1526042141254170,1526042141254170,1526042141254170,1526042141254170,1526042141254170,1526042141254170,1526042141254903,1526042141254903,1526042141254903,1526042141254903,1526042141254903,1526042141272273,1526042141320703,1526042141402674
