#t_ns,out_ts
9945975218408,18043499732870
9945993727408,18043511192439
9946012232408,18043520655862
9946030740408,18043533324114
9946049248408,18043543997596
9946067755408,18043560701897
9946086262408,18043572087802
9946104767408,18043583758778
9946123274408,18043594335379
9946141781408,18043605772337
9946160289408,18043619615182
9946178795408,18043630902464
9946197304408,18043643617579
9946215812408,18043655220273
9946234319408,18043666371644
9946252823408,18043677341617
9946271330408,18043688340783
9946289837408,18043703377238
9946308344408,18043714986679
9946326851408,18043728687932
9946345363408,18043740833131
9946363867408,18043752743998
9946382373408,18043764514883
9946400880408,18043774536970
9946419387408,18043787295173
9946437895408,18043798576489
9946474965408,18043815061134
9946493414408,18043829209710
9946511923408,18043841661976
9946530429408,18043852016357
9946548937408,18043862703405
9946567444408,18043875241056
9946585948408,18043886389141
9946604457408,18043902963925
9946622963408,18043914345973
9946641469408,18043925357999
9946659976408,18043936215382
9946678483408,18043949120438
9946696995408,18043963287642
9946715498408,18043974322485
9946734006408,18043985340797
9946752513408,18044001927764
9946771020408,18044018908388
9946789526408,18044030924358
9946808033408,18044043855557
9946826541408,18044055473851
9946845047408,18044071795228
9946863554408,18044085201418
9946882062408,18044098201179
9946900570408,18044109320843
9946919077408,18044120023854
9946937581408,18044132667938
9946956089408,18044146819766
9946974596408,18044161303565
9946993102408,18044173906672
9947011609408,18044185766313
9947030116408,18044197214628
9947048624408,18044207971304
9947067130408,18044220839303
9947085638408,18044236890116
9947104145408,18044253429540
9947122653408,18044266968310
9947141158408,18044277848169
9947159666408,18044294400648
9947178172408,18044307369760
9947196680408,18044319759584
9947215185408,18044334117454
9947233695408,18044348685299
9947252202408,18044363812800
9947270709408,18044378224366
9947289214408,18044390262345
9947307723408,18044404526343
9947326229408,18044416099685
9947344735408,18044432292913
9947363243408,18044446722745
9947381749408,18044460086509
9947400258408,18044475411235
9947418764408,18044490352160
9947437270408,18044506116985
9947455779408,18044523134590
9947474286408,18044538366827
9947492791408,18044553110759
9947511298408,18044567165563
9947529806408,18044580576213
9947548313408,18044595391817
9947566819408,18044611335012
9947585326408,18044624641789
9947603835408,18044639918262
9947622341408,18044654485952
9947640847408,18044669562122
9947659353408,18044684075869
9947677862408,18044699333228
9947696369408,18044714498890
9947714874408,18044731164732
9947733381408,18044747493083
9947751889408,18044762263900
9947770408408,18044778105869
9947788904408,18044793180699
9947807412408,18044807083174
9947825920408,18044820909382
9947844424408,18044833751762
9947862932408,18044850676452
9947881437408,18044866030042
9947899946408,18044880710797
9947918453408,18044893824381
