#t_ns,in_ts
7700348350615,11235436682702
7700381634515,11235455283198
7700414924215,11235472615352
7700448212515,11235489256896
7700481502515,11235507084508
7700514792515,11235527212332
7700548081015,11235543887684
7700581370915,11235564261317
7700614659215,11235584005832
7700647949615,11235603760695
7700681238915,11235623872199
7700714527515,11235646634731
7700747821015,11235669814691
7700781130815,11235694075400
7700814395515,11235715749741
7700847686015,11235737250306
7700881005415,11235760987874
7700914263215,11235789583765
7700947553915,11235813017436
7700980850215,11235830196595
7701014132715,11235848263699
7701047422715,11235868521392
7701080716815,11235887113888
7701114001315,11235904779680
7701147289515,11235919058765
7701180578815,11235936749883
7701213869115,11235955212459
7701247192315,11235969478969
7701280446715,11235981240852
7701313737415,11235994073956
7701347026615,11236006242310
7701380316315,11236017879426
7701413605415,11236026399797
7701446893615,11236041269009
7701480185415,11236056484880
7701513475215,11236065732000
7701546761815,11236073262297
7701580052415,11236087566788
7701613347115,11236103424129
7701646630215,11236116681295
7701679920615,11236132130615
7701713216015,11236143224045
7701746499215,11236157962665
7701779789215,11236171554102
7701813083215,11236185483060
7701846367815,11236199160467
7701879655615,11236214913161
7701912944815,11236230810817
7701946235215,11236250063746
7701979524615,11236268852258
7702012813215,11236287086113
7702046103515,11236299060265
7702079394015,11236320893704
7702112681315,11236343718281
7702145971815,11236369043363
7702179259615,11236399175906
7702212573415,11236435419163
7702245841215,11236457979908
7702279144815,11236479735151
7702312418815,11236505476803
7702345714715,11236531746964
7702378996715,11236566671681
7702412286915,11236597853963
7702445583415,11236631497377
7702478864715,11236654884033
7702512155315,11236674197135
7702545449515,11236693033116
7702578733515,11236710344299
7702612022015,11236727688905
7702645311615,11236745852904
7702678601515,11236766061918
7702711892115,11236786961405
7702745179415,11236800943046
7702778469815,11236822089706
7702811759615,11236843377365
7702845047715,11236863763015
7702878338215,11236881313503
7702911627815,11236904161357
7702944916715,11236926369707
7702978208515,11236954072592
7703011494615,11236978305637
7703044785115,11237002026218
7703078080815,11237036725656
7703111362915,11237068445371
7703144653515,11237101626156
7703177948615,11237134357667
7703211230715,11237168760264
7703244521515,11237201677205
7703277847315,11237237696040
7703311100515,11237271928461
7703344389115,11237296455968
7703377678015,11237324882749
7703410968315,11237349325691
7703444256515,11237375950637
7703477546015,11237404268939
7703510836315,11237434519137
7703544144815,11237464751778
7703577413715,11237491884619
7703610704515,11237526310955
7703643994215,11237558733112
7703677283515,11237593400996
7703710574915,11237630959343
7703743861015,11237663804042
7703777152515,11237697726042
7703810448515,11237733654092
7703843729315,11237781691929
7703877019815,11237832275021
7703910314515,11237882049686
