#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9922267769408,18026829355918,18026837864224,18026840558307,18026840570218,18026840626651,18026843678453,18026844509992,18026844513034,18026846366955,18026846690119,18026850101718,18026850110416,18026850110942,18026850166393,18026851109773,18026852147042,18026853579670,18026853933652,18026854380435,18026855057168,18026855478132,18026855523720,18026855691639
9922286276408,18026840563343,18026849139127,18026855694342,18026855709280,18026855762188,18026857545774,18026858369936,18026858372423,18026860225132,18026860563403,18026864067286,18026864074999,18026864075357,18026864186256,18026864375213,18026864700022,18026865252423,18026865415500,18026865592832,18026865992920,18026866386575,18026866424081,18026866516614
9922304784408,18026855698905,18026864222004,18026866519406,18026866530457,18026866587712,18026869671697,18026870402995,18026870405690,18026872326651,18026872716909,18026876173623,18026876181887,18026876182179,18026876265561,18026876458753,18026876782781,18026877324544,18026877478417,18026877676023,18026878150266,18026878554699,18026878586235,18026878677939
9922323293408,18026866524289,18026875054216,18026878681613,18026878692619,18026878748814,18026881192690,18026882033973,18026882036099,18026883908793,18026884241300,18026887682836,18026887690014,18026887690287,18026887767798,18026887941926,18026888803820,18026890161733,18026890601787,18026891158985,18026891765513,18026892176371,18026892215861,18026892306297
9922341798408,18026878686716,18026887226348,18026892309836,18026892321783,18026892373274,18026894598222,18026895383295,18026895385783,18026897258783,18026897671302,18026901113642,18026901121718,18026901122006,18026901187406,18026901363050,18026901735742,18026902251445,18026902443755,18026902723836,18026903227420,18026903691050,18026903730422,18026903823782
9922360304408,18026892315121,18026900975217,18026903826934,18026903837193,18026903886225,18026906950521,18026907690652,18026907693033,18026909557168,18026909921003,18026913555685,18026913564688,18026913565142,18026913723871,18026913892623,18026914781739,18026916058494,18026916417138,18026916852869,18026917409837,18026917844926,18026917884181,18026917899171
9922378827408,18026903831375,18026912392464,18026917905995,18026917914728,18026917989496,18026921048429,18026921883467,18026921886063,18026923724179,18026924082899,18026927660944,18026927669974,18026927670280,18026927751433,18026927940497,18026928290487,18026928789021,18026928944633,18026929212326,18026929611519,18026929957337,18026929995582,18026930015661
9922397318408,18026917911850,18026926566993,18026930022110,18026930033133,18026930093910,18026932961536,18026933743607,18026933746259,18026935557710,18026935942859,18026939761825,18026939770568,18026939770974,18026939899828,18026940711827,18026941025058,18026941423596,18026941535484,18026941723021,18026942183892,18026942618819,18026942662447,18026942677649
9922415829408,18026930028160,18026938657239,18026942684534,18026942693894,18026942760100,18026944563468,18026945372506,18026945375303,18026947168105,18026947491160,18026951404029,18026951413125,18026951413404,18026951483222,18026951665054,18026952716298,18026953982879,18026954300368,18026954682262,18026955201117,18026955673189,18026955721115,18026955734834
9922434332408,18026942692609,18026951344710,18026955741735,18026955750342,18026955811668,18026958232991,18026959083580,18026959086478,18026960874263,18026961150313,18026964862481,18026964870303,18026964870607,18026964950720,18026965158668,18026965396303,18026965782691,18026965863990,18026966014356,18026966435830,18026966747191,18026966785003,18026966797987
