#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7559768169894,17959671542773,17959674824921,17959681456755,17959681467780,17959681532421,17959682273951,17959683474063,17959683476441,17959683943326,17959684156506,17959684830283,17959684840074,17959684840141,17959684958676,17959685121491,17959686947581,17959689226448,17959689663851,17959690482771,17959691092766,17959691854237,17959691890079,17959692012922
7559801452194,17959681460517,17959684738878,17959692019284,17959692143095,17959692227631,17959693429915,17959694678778,17959694681452,17959695172302,17959695338069,17959696081569,17959696091375,17959696091423,17959696238957,17959696381765,17959697766738,17959699746391,17959700088749,17959700800302,17959701289225,17959701573069,17959701594167,17959701675408
7559834741194,17959692027958,17959695398333,17959701681899,17959701801558,17959701863904,17959702953640,17959704116075,17959704118892,17959704555972,17959704754814,17959705672828,17959705681415,17959705681483,17959705779595,17959705934343,17959706897870,17959708526955,17959708835274,17959709468875,17959709985944,17959710273163,17959710293554,17959710464399
7559868037594,17959701690920,17959704990448,17959710471117,17959710613516,17959710688267,17959711907323,17959713021931,17959713024783,17959713561173,17959713720597,17959714606562,17959714615572,17959714615619,17959714717662,17959714849966,17959716029715,17959717840963,17959718176164,17959718815269,17959719283159,17959719550224,17959719569996,17959719573694
7559901351294,17959710479881,17959713752122,17959719576512,17959719582015,17959719612089,17959720716594,17959721836734,17959721839147,17959722287521,17959722445650,17959723494713,17959723502859,17959723502916,17959723515514,17959723665796,17959724904065,17959726721274,17959727028016,17959727709802,17959728172149,17959728499959,17959728522549,17959728653242
7559934609094,17959719579115,17959722824509,17959728659214,17959728668973,17959728697008,17959729753025,17959730857309,17959730859525,17959731350004,17959731487520,17959732537254,17959732544735,17959732544791,17959732550320,17959732837000,17959734358981,17959736510204,17959736902901,17959737438852,17959738029421,17959738316520,17959738342067,17959738345757
7559967906994,17959728667795,17959731944610,17959738347777,17959738472641,17959738553510,17959739585251,17959740647407,17959740649755,17959741162530,17959741372018,17959742485352,17959742492962,17959742493008,17959742585306,17959742751183,17959744290065,17959746493878,17959746880554,17959747570848,17959748134730,17959748524612,17959748552194,17959748658772
7560001190594,17959738350197,17959741619131,17959748664249,17959748671853,17959748703899,17959749813858,17959750747559,17959750749758,17959751249003,17959751423597,17959752540988,17959752547880,17959752547930,17959752633781,17959752796188,17959754687259,17959756777748,17959757170822,17959757997053,17959758563583,17959759006691,17959759030981,17959759228476
7560034478794,17959748671699,17959752013467,17959759235223,17959759349718,17959759413621,17959760661791,17959761805420,17959761807662,17959762330417,17959762540419,17959763681850,17959763688826,17959763688873,17959763845128,17959763975322,17959765556804,17959767565198,17959767931614,17959768664769,17959769175852,17959769501706,17959769526056,17959769529442
7560067767994,17959759245105,17959762678099,17959769571338,17959769666426,17959769732646,17959770533455,17959771597868,17959771600171,17959772176651,17959772332712,17959773541273,17959773547262,17959773547308,17959773553987,17959773650115,17959774632528,17959776595471,17959776952970,17959777590191,17959778124476,17959778386146,17959778407276,17959778541731
